representation,band,mean_reflectance,std_reflectance
Native 10m,B02,0.17725662887096405,0.023679735139012337
Native 10m,B03,0.19775345921516418,0.024320850148797035
Native 10m,B04,0.21700125932693481,0.03102957457304001
Native 10m,B08,0.33844661712646484,0.02829805761575699
Bicubic 2.5m,B02,0.17697419226169586,0.02317955158650875
Bicubic 2.5m,B03,0.19748447835445404,0.023929642513394356
Bicubic 2.5m,B04,0.21661612391471863,0.030716732144355774
Bicubic 2.5m,B08,0.33853596448898315,0.027842942625284195
LDSR 2.5m,B02,0.17420640587806702,0.023544251918792725
LDSR 2.5m,B03,0.1951921284198761,0.02578839845955372
LDSR 2.5m,B04,0.21380802989006042,0.03446664288640022
LDSR 2.5m,B08,0.3401084840297699,0.02896266058087349
